2023-05-19 11:05:293 INFO  Homepage :34 - Buy sell tab : [[ChromeDriver: chrome on WINDOWS (d373374a3e0097c26a006d7f128c04a4)] -> xpath: //a[contains(text(),'buy + sell')]]
2023-05-19 11:05:497 INFO  Homepage :39 - Click on search cars : [[ChromeDriver: chrome on WINDOWS (d373374a3e0097c26a006d7f128c04a4)] -> xpath: //a[contains(text(),'Search Cars')]]
2023-05-19 11:05:978 INFO  NewAndUsedCarPage :70 - Verify text: [[ChromeDriver: chrome on WINDOWS (d373374a3e0097c26a006d7f128c04a4)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2023-05-19 11:05:511 INFO  NewAndUsedCarPage :45 - Select make : [[ChromeDriver: chrome on WINDOWS (d373374a3e0097c26a006d7f128c04a4)] -> xpath: //select[@id='makes']]
2023-05-19 11:05:804 INFO  NewAndUsedCarPage :50 - Select model : [[ChromeDriver: chrome on WINDOWS (d373374a3e0097c26a006d7f128c04a4)] -> xpath: //select[@id='models']]
2023-05-19 11:05:113 INFO  NewAndUsedCarPage :55 - Select location: [[ChromeDriver: chrome on WINDOWS (d373374a3e0097c26a006d7f128c04a4)] -> xpath: //select[@id='locations']]
2023-05-19 11:05:288 INFO  NewAndUsedCarPage :60 - Select location: [[ChromeDriver: chrome on WINDOWS (d373374a3e0097c26a006d7f128c04a4)] -> xpath: //select[@id='locations']]
2023-05-19 11:05:475 INFO  NewAndUsedCarPage :65 - Find My Next Car: [[ChromeDriver: chrome on WINDOWS (d373374a3e0097c26a006d7f128c04a4)] -> xpath: //select[@id='locations']]
2023-05-19 11:05:884 INFO  Homepage :34 - Buy sell tab : [[ChromeDriver: chrome on WINDOWS (78ac2de256f7a1106446a0ae0af30a85)] -> xpath: //a[contains(text(),'buy + sell')]]
2023-05-19 11:05:843 INFO  Homepage :39 - Click on search cars : [[ChromeDriver: chrome on WINDOWS (78ac2de256f7a1106446a0ae0af30a85)] -> xpath: //a[contains(text(),'Search Cars')]]
2023-05-19 11:05:989 INFO  NewAndUsedCarPage :70 - Verify text: [[ChromeDriver: chrome on WINDOWS (78ac2de256f7a1106446a0ae0af30a85)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2023-05-19 11:05:149 INFO  NewAndUsedCarPage :45 - Select make : [[ChromeDriver: chrome on WINDOWS (78ac2de256f7a1106446a0ae0af30a85)] -> xpath: //select[@id='makes']]
2023-05-19 11:05:280 INFO  NewAndUsedCarPage :50 - Select model : [[ChromeDriver: chrome on WINDOWS (78ac2de256f7a1106446a0ae0af30a85)] -> xpath: //select[@id='models']]
2023-05-19 11:05:642 INFO  NewAndUsedCarPage :55 - Select location: [[ChromeDriver: chrome on WINDOWS (78ac2de256f7a1106446a0ae0af30a85)] -> xpath: //select[@id='locations']]
2023-05-19 11:05:735 INFO  NewAndUsedCarPage :60 - Select location: [[ChromeDriver: chrome on WINDOWS (78ac2de256f7a1106446a0ae0af30a85)] -> xpath: //select[@id='locations']]
2023-05-19 11:05:861 INFO  NewAndUsedCarPage :65 - Find My Next Car: [[ChromeDriver: chrome on WINDOWS (78ac2de256f7a1106446a0ae0af30a85)] -> xpath: //select[@id='locations']]
